abyssal_blade | [s] None => 4511 | [h] None => 4ce61c10e0 | 2023-11-16 13:28:40 (UTC+3)
psychic_headband CN | [s] None => 2765 | [h] None => 861b41e761 | 2023-11-16 13:31:17 (UTC+3)
pupils_gift CN | [s] None => 2285 | [h] None => 4e6cf6553d | 2023-11-16 13:31:17 (UTC+3)
quarterstaff CN | [s] None => 2241 | [h] None => 437788071e | 2023-11-16 13:31:17 (UTC+3)
quelling_blade CN | [s] None => 2970 | [h] None => 5859735a80 | 2023-11-16 13:31:17 (UTC+3)
quickening_charm CN | [s] None => 2411 | [h] None => 691374df20 | 2023-11-16 13:31:17 (UTC+3)
quicksilver_amulet CN | [s] None => 3142 | [h] None => 4a24d21b69 | 2023-11-16 13:31:17 (UTC+3)
radiance CN | [s] None => 3662 | [h] None => cda102baf1 | 2023-11-16 13:31:17 (UTC+3)
rapier CN | [s] None => 2833 | [h] None => 286e241f39 | 2023-11-16 13:31:17 (UTC+3)
reaver CN | [s] None => 2106 | [h] None => c3e6ed6465 | 2023-11-16 13:31:17 (UTC+3)
recipe_abyssal_blade CN | [s] None => 1926 | [h] None => d8b920ee32 | 2023-11-16 13:31:17 (UTC+3)
recipe_aeon_disk CN | [s] None => 1922 | [h] None => c7e8d2a6fa | 2023-11-16 13:31:17 (UTC+3)
recipe_aether_lens CN | [s] None => 1923 | [h] None => fa0de3f03a | 2023-11-16 13:31:17 (UTC+3)
recipe_ancient_janggo CN | [s] None => 1914 | [h] None => 6fb783f702 | 2023-11-16 13:31:17 (UTC+3)
recipe_arcane_blink CN | [s] None => 1925 | [h] None => 2f107d1fc4 | 2023-11-16 13:31:17 (UTC+3)
recipe_arcane_boots CN | [s] None => 1874 | [h] None => d5334e57f2 | 2023-11-16 13:31:17 (UTC+3)
recipe_armlet CN | [s] None => 1942 | [h] None => a396bbde15 | 2023-11-16 13:31:17 (UTC+3)
recipe_assault CN | [s] None => 1920 | [h] None => 51aea9e571 | 2023-11-16 13:31:17 (UTC+3)
recipe_basher CN | [s] None => 1912 | [h] None => fff436b6f4 | 2023-11-16 13:31:17 (UTC+3)
recipe_bfury CN | [s] None => 1911 | [h] None => 89751f61a8 | 2023-11-16 13:31:17 (UTC+3)
recipe_black_king_bar CN | [s] None => 1921 | [h] None => aebc31c997 | 2023-11-16 13:31:17 (UTC+3)
recipe_blade_mail CN | [s] None => 1910 | [h] None => a434486631 | 2023-11-16 13:31:17 (UTC+3)
recipe_bloodstone CN | [s] None => 1916 | [h] None => 1809406060 | 2023-11-16 13:31:17 (UTC+3)
recipe_bloodthorn CN | [s] None => 1910 | [h] None => f5c65bfe67 | 2023-11-16 13:31:17 (UTC+3)
recipe_boots_of_bearing CN | [s] None => 1929 | [h] None => d6f33dc924 | 2023-11-16 13:31:17 (UTC+3)
recipe_bracer CN | [s] None => 1905 | [h] None => bfc55b04a5 | 2023-11-16 13:31:17 (UTC+3)
recipe_buckler CN | [s] None => 1918 | [h] None => 36a816b1aa | 2023-11-16 13:31:17 (UTC+3)
recipe_butterfly CN | [s] None => 1871 | [h] None => b72a205af7 | 2023-11-16 13:31:17 (UTC+3)
recipe_crimson_guard CN | [s] None => 1920 | [h] None => a07b633662 | 2023-11-16 13:31:17 (UTC+3)
recipe_cyclone CN | [s] None => 1927 | [h] None => 74f4fe5490 | 2023-11-16 13:31:17 (UTC+3)
recipe_dagon CN | [s] None => 1924 | [h] None => aa34c21d67 | 2023-11-16 13:31:17 (UTC+3)
recipe_dagon_2 CN | [s] None => 1869 | [h] None => 2dba4b5b51 | 2023-11-16 13:31:17 (UTC+3)
recipe_dagon_3 CN | [s] None => 1869 | [h] None => dab5bc83a4 | 2023-11-16 13:31:17 (UTC+3)
recipe_dagon_4 CN | [s] None => 1869 | [h] None => 9afcce7207 | 2023-11-16 13:31:17 (UTC+3)
recipe_dagon_5 CN | [s] None => 1869 | [h] None => 779433a332 | 2023-11-16 13:31:17 (UTC+3)
recipe_desolator CN | [s] None => 1871 | [h] None => 64243e9abc | 2023-11-16 13:31:17 (UTC+3)
recipe_diffusal_blade CN | [s] None => 1927 | [h] None => f7e2105c3f | 2023-11-16 13:31:17 (UTC+3)
recipe_disperser CN | [s] None => 1917 | [h] None => ee2bba5aae | 2023-11-16 13:31:17 (UTC+3)
recipe_dragon_lance CN | [s] None => 1918 | [h] None => 90e55cf007 | 2023-11-16 13:31:17 (UTC+3)
recipe_echo_sabre CN | [s] None => 1872 | [h] None => 336af7727d | 2023-11-16 13:31:17 (UTC+3)
recipe_eternal_shroud CN | [s] None => 1926 | [h] None => 14bf37c148 | 2023-11-16 13:31:17 (UTC+3)
recipe_ethereal_blade CN | [s] None => 1927 | [h] None => cdc0ae2fa8 | 2023-11-16 13:31:17 (UTC+3)
recipe_falcon_blade CN | [s] None => 1924 | [h] None => fd7e2dbf93 | 2023-11-16 13:31:17 (UTC+3)
recipe_fallen_sky CN | [s] None => 1908 | [h] None => c4908728ea | 2023-11-16 13:31:17 (UTC+3)
recipe_force_staff CN | [s] None => 1923 | [h] None => a51dde58c5 | 2023-11-16 13:31:17 (UTC+3)
recipe_glimmer_cape CN | [s] None => 1924 | [h] None => 6ca25585b9 | 2023-11-16 13:31:17 (UTC+3)
recipe_grandmasters_glaive CN | [s] None => 1881 | [h] None => 307e50f488 | 2023-11-16 13:31:17 (UTC+3)
recipe_great_famango CN | [s] None => 1876 | [h] None => 559fa64920 | 2023-11-16 13:31:17 (UTC+3)
recipe_greater_crit CN | [s] None => 1937 | [h] None => 1671dcf39f | 2023-11-16 13:31:17 (UTC+3)
recipe_greater_famango CN | [s] None => 1878 | [h] None => 4e4d3b7e99 | 2023-11-16 13:31:17 (UTC+3)
recipe_guardian_greaves CN | [s] None => 1929 | [h] None => 0eb76c4da9 | 2023-11-16 13:31:17 (UTC+3)
recipe_gungir CN | [s] None => 1913 | [h] None => 1fa598c43c | 2023-11-16 13:31:17 (UTC+3)
recipe_hand_of_midas CN | [s] None => 1931 | [h] None => fc1e2082ce | 2023-11-16 13:31:17 (UTC+3)
recipe_harpoon CN | [s] None => 1909 | [h] None => 1b5e106f18 | 2023-11-16 13:31:17 (UTC+3)
recipe_headdress CN | [s] None => 1920 | [h] None => b170eae325 | 2023-11-16 13:31:17 (UTC+3)
recipe_heart CN | [s] None => 1918 | [h] None => be316fc549 | 2023-11-16 13:31:17 (UTC+3)
recipe_heavens_halberd CN | [s] None => 1927 | [h] None => 62b0f4b5e2 | 2023-11-16 13:31:17 (UTC+3)
recipe_helm_of_the_dominator CN | [s] None => 1933 | [h] None => b4152031b7 | 2023-11-16 13:31:17 (UTC+3)
recipe_helm_of_the_overlord CN | [s] None => 1933 | [h] None => 1760cd8f47 | 2023-11-16 13:31:17 (UTC+3)
recipe_hermes_sandals CN | [s] None => 1939 | [h] None => dbf9e1ef4a | 2023-11-16 13:31:17 (UTC+3)
recipe_holy_locket CN | [s] None => 1923 | [h] None => 23b8e712e2 | 2023-11-16 13:31:17 (UTC+3)
recipe_hood_of_defiance CN | [s] None => 1878 | [h] None => 3a7475ad14 | 2023-11-16 13:31:17 (UTC+3)
recipe_hurricane_pike CN | [s] None => 1926 | [h] None => cd4b4c1a69 | 2023-11-16 13:31:17 (UTC+3)
recipe_invis_sword CN | [s] None => 1873 | [h] None => e93b7492fe | 2023-11-16 13:31:17 (UTC+3)
recipe_iron_talon CN | [s] None => 1920 | [h] None => ec5634e186 | 2023-11-16 13:31:17 (UTC+3)
recipe_ironwood_tree CN | [s] None => 1923 | [h] None => abf63b5bca | 2023-11-16 13:31:17 (UTC+3)
recipe_kaya CN | [s] None => 1904 | [h] None => 780f42049c | 2023-11-16 13:31:17 (UTC+3)
recipe_kaya_and_sange CN | [s] None => 1924 | [h] None => 4d640023d5 | 2023-11-16 13:31:17 (UTC+3)
recipe_lesser_crit CN | [s] None => 1917 | [h] None => 2bbe46aaae | 2023-11-16 13:31:17 (UTC+3)
recipe_lotus_orb CN | [s] None => 1921 | [h] None => d7fe6d8f8f | 2023-11-16 13:31:17 (UTC+3)
recipe_lunar_crest CN | [s] None => 1924 | [h] None => bc113f2e82 | 2023-11-16 13:31:17 (UTC+3)
recipe_maelstrom CN | [s] None => 1907 | [h] None => 16240594da | 2023-11-16 13:31:17 (UTC+3)
recipe_mage_slayer CN | [s] None => 1923 | [h] None => 409153f83b | 2023-11-16 13:31:17 (UTC+3)
recipe_magic_wand CN | [s] None => 1909 | [h] None => 658f9f620e | 2023-11-16 13:31:17 (UTC+3)
recipe_manta CN | [s] None => 1911 | [h] None => 419b2b8f1d | 2023-11-16 13:31:17 (UTC+3)
recipe_mask_of_madness CN | [s] None => 1925 | [h] None => 196f09979f | 2023-11-16 13:31:17 (UTC+3)
recipe_medallion_of_courage CN | [s] None => 1882 | [h] None => 6eb5a2a590 | 2023-11-16 13:31:17 (UTC+3)
recipe_mekansm CN | [s] None => 1918 | [h] None => 951581a7e1 | 2023-11-16 13:31:17 (UTC+3)
recipe_meteor_hammer CN | [s] None => 1919 | [h] None => 4934048900 | 2023-11-16 13:31:17 (UTC+3)
recipe_mjollnir CN | [s] None => 1920 | [h] None => 66985d0ffb | 2023-11-16 13:31:17 (UTC+3)
recipe_monkey_king_bar CN | [s] None => 1921 | [h] None => 70c20648eb | 2023-11-16 13:31:17 (UTC+3)
recipe_moon_shard CN | [s] None => 1872 | [h] None => bfceba60c3 | 2023-11-16 13:31:17 (UTC+3)
recipe_necronomicon CN | [s] None => 1919 | [h] None => 7cd5cfa118 | 2023-11-16 13:31:17 (UTC+3)
recipe_necronomicon_2 CN | [s] None => 1876 | [h] None => ef52950e25 | 2023-11-16 13:31:17 (UTC+3)
recipe_necronomicon_3 CN | [s] None => 1876 | [h] None => bf67d121cf | 2023-11-16 13:31:17 (UTC+3)
recipe_null_talisman CN | [s] None => 1924 | [h] None => 91b91dfe76 | 2023-11-16 13:31:17 (UTC+3)
recipe_nullifier CN | [s] None => 1919 | [h] None => 4d377cf1d7 | 2023-11-16 13:31:17 (UTC+3)
recipe_oblivion_staff CN | [s] None => 1875 | [h] None => 1da12fcc02 | 2023-11-16 13:31:17 (UTC+3)
recipe_octarine_core CN | [s] None => 1919 | [h] None => f85bcea542 | 2023-11-16 13:31:17 (UTC+3)
recipe_orb_of_corrosion CN | [s] None => 1928 | [h] None => 31c9cfd51c | 2023-11-16 13:31:17 (UTC+3)
recipe_orchid CN | [s] None => 1905 | [h] None => c2866cdd5c | 2023-11-16 13:31:17 (UTC+3)
recipe_overwhelming_blink CN | [s] None => 1931 | [h] None => 355cf822ec | 2023-11-16 13:31:17 (UTC+3)
recipe_pavise CN | [s] None => 1907 | [h] None => e939b44b59 | 2023-11-16 13:31:17 (UTC+3)
recipe_pers CN | [s] None => 1865 | [h] None => d3c78aef74 | 2023-11-16 13:31:17 (UTC+3)
recipe_phase_boots CN | [s] None => 1872 | [h] None => 76fe860459 | 2023-11-16 13:31:17 (UTC+3)
recipe_phylactery CN | [s] None => 1873 | [h] None => 2cb490abbc | 2023-11-16 13:31:17 (UTC+3)
recipe_pipe CN | [s] None => 1916 | [h] None => 93745d85b2 | 2023-11-16 13:31:17 (UTC+3)
recipe_poor_mans_shield CN | [s] None => 1877 | [h] None => e6f3cc6a9e | 2023-11-16 13:31:17 (UTC+3)
recipe_power_treads CN | [s] None => 1873 | [h] None => 6f8bdff16a | 2023-11-16 13:31:17 (UTC+3)
recipe_radiance CN | [s] None => 1906 | [h] None => c1c03da061 | 2023-11-16 13:31:17 (UTC+3)
recipe_rapier CN | [s] None => 1868 | [h] None => 45f0eb05bd | 2023-11-16 13:31:17 (UTC+3)
recipe_refresher CN | [s] None => 1916 | [h] None => fb3fb127cb | 2023-11-16 13:31:17 (UTC+3)
recipe_revenants_brooch CN | [s] None => 1928 | [h] None => afb7f3a015 | 2023-11-16 13:31:17 (UTC+3)
recipe_ring_of_aquila CN | [s] None => 1876 | [h] None => 2c387dcca3 | 2023-11-16 13:31:17 (UTC+3)
recipe_ring_of_basilius CN | [s] None => 1927 | [h] None => 61838c14c7 | 2023-11-16 13:31:17 (UTC+3)
recipe_rod_of_atos CN | [s] None => 1929 | [h] None => 08fbdb360f | 2023-11-16 13:31:17 (UTC+3)
recipe_samurai_tabi CN | [s] None => 1926 | [h] None => 707906c04b | 2023-11-16 13:31:17 (UTC+3)
recipe_sange CN | [s] None => 1905 | [h] None => 6891b6776d | 2023-11-16 13:31:17 (UTC+3)
recipe_sange_and_yasha CN | [s] None => 1877 | [h] None => bff617f118 | 2023-11-16 13:31:17 (UTC+3)
recipe_satanic CN | [s] None => 1923 | [h] None => d6747c41bc | 2023-11-16 13:31:17 (UTC+3)
recipe_sheepstick CN | [s] None => 1871 | [h] None => 377e245002 | 2023-11-16 13:31:17 (UTC+3)
recipe_shivas_guard CN | [s] None => 1930 | [h] None => f175a111d3 | 2023-11-16 13:31:17 (UTC+3)
recipe_silver_edge CN | [s] None => 1923 | [h] None => 3dfb9cce73 | 2023-11-16 13:31:17 (UTC+3)
recipe_skadi CN | [s] None => 1867 | [h] None => 951fb0cd87 | 2023-11-16 13:31:17 (UTC+3)
recipe_solar_crest CN | [s] None => 1923 | [h] None => 8b4f1b2369 | 2023-11-16 13:31:17 (UTC+3)
recipe_soul_booster CN | [s] None => 1874 | [h] None => 94f54558d9 | 2023-11-16 13:31:17 (UTC+3)
recipe_soul_ring CN | [s] None => 1921 | [h] None => 18e49b5f43 | 2023-11-16 13:31:17 (UTC+3)
recipe_sphere CN | [s] None => 1919 | [h] None => 3221332536 | 2023-11-16 13:31:17 (UTC+3)
recipe_spirit_vessel CN | [s] None => 1926 | [h] None => 3cb9f1d649 | 2023-11-16 13:31:17 (UTC+3)
recipe_swift_blink CN | [s] None => 1924 | [h] None => a2ad889d16 | 2023-11-16 13:31:17 (UTC+3)
recipe_tranquil_boots CN | [s] None => 1924 | [h] None => 880f52dc9f | 2023-11-16 13:31:17 (UTC+3)
recipe_travel_boots CN | [s] None => 1918 | [h] None => df42bf35f9 | 2023-11-16 13:31:17 (UTC+3)
recipe_travel_boots_2 CN | [s] None => 1876 | [h] None => b4fd99c24d | 2023-11-16 13:31:17 (UTC+3)
recipe_trident CN | [s] None => 1917 | [h] None => 6baf5dc03e | 2023-11-16 13:31:17 (UTC+3)
recipe_ultimate_scepter CN | [s] None => 1878 | [h] None => f786dc65f5 | 2023-11-16 13:31:17 (UTC+3)
recipe_ultimate_scepter_2 CN | [s] None => 1919 | [h] None => a161498e2d | 2023-11-16 13:31:17 (UTC+3)
recipe_urn_of_shadows CN | [s] None => 1925 | [h] None => 5bfece4cf8 | 2023-11-16 13:31:17 (UTC+3)
recipe_vanguard CN | [s] None => 1870 | [h] None => 60bdf2ad2c | 2023-11-16 13:31:17 (UTC+3)
recipe_veil_of_discord CN | [s] None => 1927 | [h] None => a631a29bce | 2023-11-16 13:31:17 (UTC+3)
recipe_vladmir CN | [s] None => 1942 | [h] None => 66390e3818 | 2023-11-16 13:31:17 (UTC+3)
recipe_ward_dispenser CN | [s] None => 1876 | [h] None => 43d699d0b5 | 2023-11-16 13:31:17 (UTC+3)
recipe_wind_waker CN | [s] None => 1917 | [h] None => ca705b9381 | 2023-11-16 13:31:17 (UTC+3)
recipe_witch_blade CN | [s] None => 1923 | [h] None => d539a95473 | 2023-11-16 13:31:17 (UTC+3)
recipe_witches_switch CN | [s] None => 1927 | [h] None => 97f1b5565d | 2023-11-16 13:31:17 (UTC+3)
recipe_wraith_band CN | [s] None => 1922 | [h] None => df5c22f61e | 2023-11-16 13:31:17 (UTC+3)
recipe_wraith_pact CN | [s] None => 1923 | [h] None => 85d4f6482a | 2023-11-16 13:31:17 (UTC+3)
recipe_yasha CN | [s] None => 1905 | [h] None => 8b85b563dc | 2023-11-16 13:31:17 (UTC+3)
recipe_yasha_and_kaya CN | [s] None => 1924 | [h] None => 447f108b6b | 2023-11-16 13:31:17 (UTC+3)
refresher CN | [s] None => 3098 | [h] None => 019b3a10e5 | 2023-11-16 13:31:17 (UTC+3)
refresher_shard CN | [s] None => 2907 | [h] None => beb603fc7e | 2023-11-16 13:31:17 (UTC+3)
relic CN | [s] None => 2124 | [h] None => fe53de7141 | 2023-11-16 13:31:17 (UTC+3)
repair_kit CN | [s] None => 2758 | [h] None => 96d579bd7e | 2023-11-16 13:31:17 (UTC+3)
revenants_brooch CN | [s] None => 5056 | [h] None => f8191dba91 | 2023-11-16 13:31:17 (UTC+3)
ring_of_aquila CN | [s] None => 3467 | [h] None => 313292df83 | 2023-11-16 13:31:17 (UTC+3)
ring_of_basilius CN | [s] None => 2632 | [h] None => 5d5900f3da | 2023-11-16 13:31:17 (UTC+3)
ring_of_health CN | [s] None => 2219 | [h] None => ad922852e7 | 2023-11-16 13:31:17 (UTC+3)
ring_of_protection CN | [s] None => 2109 | [h] None => ffd79ce886 | 2023-11-16 13:31:17 (UTC+3)
ring_of_regen CN | [s] None => 2147 | [h] None => c7a6b1d1ad | 2023-11-16 13:31:17 (UTC+3)
ring_of_tarrasque CN | [s] None => 2454 | [h] None => 9ce1a951ba | 2023-11-16 13:31:17 (UTC+3)
river_painter CN | [s] None => 3157 | [h] None => ca177baf22 | 2023-11-16 13:31:17 (UTC+3)
river_painter2 CN | [s] None => 3134 | [h] None => f2476b1d48 | 2023-11-16 13:31:17 (UTC+3)
river_painter3 CN | [s] None => 3170 | [h] None => 2ab37a769a | 2023-11-16 13:31:17 (UTC+3)
river_painter4 CN | [s] None => 3146 | [h] None => 5128e7f609 | 2023-11-16 13:31:17 (UTC+3)
river_painter5 CN | [s] None => 3134 | [h] None => 35fbd8b374 | 2023-11-16 13:31:17 (UTC+3)
river_painter6 CN | [s] None => 3194 | [h] None => 80564da471 | 2023-11-16 13:31:17 (UTC+3)
river_painter7 CN | [s] None => 3152 | [h] None => 2d171245e1 | 2023-11-16 13:31:17 (UTC+3)
robe CN | [s] None => 2175 | [h] None => 3ad991888f | 2023-11-16 13:31:17 (UTC+3)
rod_of_atos CN | [s] None => 2648 | [h] None => 45a87e9072 | 2023-11-16 13:31:17 (UTC+3)
royal_jelly CN | [s] None => 2925 | [h] None => be35ae95cb | 2023-11-16 13:31:17 (UTC+3)
royale_with_cheese CN | [s] None => 2403 | [h] None => 9165793b3a | 2023-11-16 13:31:17 (UTC+3)
sample_picker CN | [s] None => 2298 | [h] None => 15081a24cb | 2023-11-16 13:31:17 (UTC+3)
samurai_tabi CN | [s] None => 5186 | [h] None => 146bcef547 | 2023-11-16 13:31:17 (UTC+3)
sange CN | [s] None => 2523 | [h] None => c324be52f5 | 2023-11-16 13:31:17 (UTC+3)
sange_and_yasha CN | [s] None => 3200 | [h] None => 086393156a | 2023-11-16 13:31:17 (UTC+3)
satanic CN | [s] None => 3643 | [h] None => 267de2f541 | 2023-11-16 13:31:17 (UTC+3)
satchel CN | [s] None => 2215 | [h] None => 4dcdbe4b09 | 2023-11-16 13:31:17 (UTC+3)
seeds_of_serenity CN | [s] None => 3024 | [h] None => 072709d8ff | 2023-11-16 13:31:17 (UTC+3)
seer_stone CN | [s] None => 2894 | [h] None => 84225ec4c2 | 2023-11-16 13:31:17 (UTC+3)
shadow_amulet CN | [s] None => 2851 | [h] None => 7c27d65df2 | 2023-11-16 13:31:17 (UTC+3)
sheepstick CN | [s] None => 3724 | [h] None => ba85fb0c51 | 2023-11-16 13:31:17 (UTC+3)
shivas_guard CN | [s] None => 4565 | [h] None => 22556dfa56 | 2023-11-16 13:31:17 (UTC+3)
silver_edge CN | [s] None => 4749 | [h] None => f5558c6ccb | 2023-11-16 13:31:17 (UTC+3)
skadi CN | [s] None => 4018 | [h] None => 9daf08281b | 2023-11-16 13:31:17 (UTC+3)
slime_vial CN | [s] None => 2983 | [h] None => d6f72ae13a | 2023-11-16 13:31:17 (UTC+3)
slippers CN | [s] None => 2147 | [h] None => f0119914b2 | 2023-11-16 13:31:17 (UTC+3)
smoke_of_deceit CN | [s] None => 3927 | [h] None => a603c3519f | 2023-11-16 13:31:17 (UTC+3)
sobi_mask CN | [s] None => 2158 | [h] None => 93369b25be | 2023-11-16 13:31:17 (UTC+3)
solar_crest CN | [s] None => 3853 | [h] None => 2c78f6591a | 2023-11-16 13:31:17 (UTC+3)
soul_booster CN | [s] None => 2230 | [h] None => e2b9998f7b | 2023-11-16 13:31:17 (UTC+3)
soul_ring CN | [s] None => 3246 | [h] None => 887c79f349 | 2023-11-16 13:31:17 (UTC+3)
spark_of_courage CN | [s] None => 2517 | [h] None => 27c74f6855 | 2023-11-16 13:31:17 (UTC+3)
specialists_array CN | [s] None => 3164 | [h] None => fb2ba46d4b | 2023-11-16 13:31:17 (UTC+3)
spell_prism CN | [s] None => 2642 | [h] None => e2383a3474 | 2023-11-16 13:31:17 (UTC+3)
sphere CN | [s] None => 3470 | [h] None => a42d45077c | 2023-11-16 13:31:17 (UTC+3)
spider_legs CN | [s] None => 2901 | [h] None => 046fe9a706 | 2023-11-16 13:31:17 (UTC+3)
spirit_vessel CN | [s] None => 4542 | [h] None => adc302feb4 | 2023-11-16 13:31:17 (UTC+3)
spy_gadget CN | [s] None => 3027 | [h] None => 89ddb8e125 | 2023-11-16 13:31:17 (UTC+3)
staff_of_wizardry CN | [s] None => 2142 | [h] None => fb9e598758 | 2023-11-16 13:31:17 (UTC+3)
star_mace CN | [s] None => 3029 | [h] None => ba98d8af6e | 2023-11-16 13:31:17 (UTC+3)
stormcrafter CN | [s] None => 3450 | [h] None => f6850bee34 | 2023-11-16 13:31:17 (UTC+3)
stout_shield CN | [s] None => 2808 | [h] None => dd3d57bd3f | 2023-11-16 13:31:17 (UTC+3)
super_blink CN | [s] None => 2442 | [h] None => 3709405f4a | 2023-11-16 13:31:17 (UTC+3)
swift_blink CN | [s] None => 3896 | [h] None => f9e2475185 | 2023-11-16 13:31:17 (UTC+3)
talisman_of_evasion CN | [s] None => 2213 | [h] None => 09bcee961b | 2023-11-16 13:31:17 (UTC+3)
tango CN | [s] None => 2908 | [h] None => def1665e44 | 2023-11-16 13:31:17 (UTC+3)
tango_single CN | [s] None => 2694 | [h] None => c11dab8970 | 2023-11-16 13:31:17 (UTC+3)
the_leveller CN | [s] None => 2475 | [h] None => ffdb985f26 | 2023-11-16 13:31:17 (UTC+3)
third_eye CN | [s] None => 2795 | [h] None => b282fe924b | 2023-11-16 13:31:17 (UTC+3)
tier1_token CN | [s] None => 2163 | [h] None => da1d5a954e | 2023-11-16 13:31:17 (UTC+3)
tier2_token CN | [s] None => 2163 | [h] None => e2c06a39a1 | 2023-11-16 13:31:17 (UTC+3)
tier3_token CN | [s] None => 2163 | [h] None => ab33896f1a | 2023-11-16 13:31:17 (UTC+3)
tier4_token CN | [s] None => 2163 | [h] None => 986561d81b | 2023-11-16 13:31:17 (UTC+3)
tier5_token CN | [s] None => 2163 | [h] None => c22b423893 | 2023-11-16 13:31:17 (UTC+3)
timeless_relic CN | [s] None => 2420 | [h] None => 8ca0dabaa6 | 2023-11-16 13:31:17 (UTC+3)
titan_sliver CN | [s] None => 2716 | [h] None => 43747e5ded | 2023-11-16 13:31:17 (UTC+3)
tome_of_aghanim CN | [s] None => 2253 | [h] None => ff3671db12 | 2023-11-16 13:31:17 (UTC+3)
tome_of_knowledge CN | [s] None => 2627 | [h] None => cd70ef293d | 2023-11-16 13:31:17 (UTC+3)
tome_of_omniscience CN | [s] None => 2272 | [h] None => cf524a7d94 | 2023-11-16 13:31:17 (UTC+3)
tpscroll CN | [s] None => 3142 | [h] None => acf7ae724e | 2023-11-16 13:31:17 (UTC+3)
tranquil_boots CN | [s] None => 3950 | [h] None => 26f4c0eb83 | 2023-11-16 13:31:17 (UTC+3)
travel_boots CN | [s] None => 2942 | [h] None => b9687cf16a | 2023-11-16 13:31:17 (UTC+3)
travel_boots_2 CN | [s] None => 3208 | [h] None => f92cc1b310 | 2023-11-16 13:31:17 (UTC+3)
trickster_cloak CN | [s] None => 2582 | [h] None => 56cda7910d | 2023-11-16 13:31:17 (UTC+3)
trident CN | [s] None => 3565 | [h] None => 162172b133 | 2023-11-16 13:31:17 (UTC+3)
trusty_shovel CN | [s] None => 3326 | [h] None => 4185c42683 | 2023-11-16 13:31:17 (UTC+3)
turtle_shell CN | [s] None => 2587 | [h] None => 678540225c | 2023-11-16 13:31:17 (UTC+3)
ultimate_orb CN | [s] None => 2107 | [h] None => 6f3891bc58 | 2023-11-16 13:31:17 (UTC+3)
ultimate_scepter CN | [s] None => 2600 | [h] None => 33bb083d49 | 2023-11-16 13:31:17 (UTC+3)
ultimate_scepter_2 CN | [s] None => 2174 | [h] None => 64451b49e2 | 2023-11-16 13:31:17 (UTC+3)
ultimate_scepter_roshan CN | [s] None => 2194 | [h] None => f4b3a09e8e | 2023-11-16 13:31:17 (UTC+3)
unstable_wand CN | [s] None => 2541 | [h] None => df5a2123ad | 2023-11-16 13:31:17 (UTC+3)
urn_of_shadows CN | [s] None => 4103 | [h] None => 078c85095a | 2023-11-16 13:31:17 (UTC+3)
vambrace CN | [s] None => 3252 | [h] None => d212d6a443 | 2023-11-16 13:31:17 (UTC+3)
vampire_fangs CN | [s] None => 2564 | [h] None => bb094b3ba2 | 2023-11-16 13:31:17 (UTC+3)
vanguard CN | [s] None => 3089 | [h] None => 355dfadc4f | 2023-11-16 13:31:17 (UTC+3)
veil_of_discord CN | [s] None => 3595 | [h] None => 4bad41a2fd | 2023-11-16 13:31:17 (UTC+3)
vengeances_shadow CN | [s] None => 2992 | [h] None => 8e33f0b5e3 | 2023-11-16 13:31:17 (UTC+3)
venom_gland CN | [s] None => 2681 | [h] None => bbf59ce34b | 2023-11-16 13:31:17 (UTC+3)
vindicators_axe CN | [s] None => 2680 | [h] None => f4dafe9d06 | 2023-11-16 13:31:17 (UTC+3)
vitality_booster CN | [s] None => 2142 | [h] None => c3ba4738d2 | 2023-11-16 13:31:17 (UTC+3)
vladmir CN | [s] None => 3333 | [h] None => ed3e0faa48 | 2023-11-16 13:31:17 (UTC+3)
void_stone CN | [s] None => 2204 | [h] None => 4f7ea14cd2 | 2023-11-16 13:31:17 (UTC+3)
voodoo_mask CN | [s] None => 2615 | [h] None => c933c74df8 | 2023-11-16 13:31:17 (UTC+3)
wand_of_sanctitude CN | [s] None => 2683 | [h] None => 3ecbe1d43d | 2023-11-16 13:31:17 (UTC+3)
wand_of_the_brine CN | [s] None => 3166 | [h] None => 004e68135f | 2023-11-16 13:31:17 (UTC+3)
ward_dispenser CN | [s] None => 4360 | [h] None => fbb821496e | 2023-11-16 13:31:17 (UTC+3)
ward_observer CN | [s] None => 3104 | [h] None => 685be6f2c2 | 2023-11-16 13:31:17 (UTC+3)
ward_sentry CN | [s] None => 3359 | [h] None => 1d8d83909f | 2023-11-16 13:31:17 (UTC+3)
warhammer CN | [s] None => 2624 | [h] None => 512f665ad2 | 2023-11-16 13:31:17 (UTC+3)
wind_lace CN | [s] None => 2248 | [h] None => 6900be2a16 | 2023-11-16 13:31:17 (UTC+3)
wind_waker CN | [s] None => 3929 | [h] None => 4c57dc4c1d | 2023-11-16 13:31:17 (UTC+3)
witch_blade CN | [s] None => 3444 | [h] None => 0e2fafb2d0 | 2023-11-16 13:31:17 (UTC+3)
witches_switch CN | [s] None => 3319 | [h] None => 91adc958df | 2023-11-16 13:31:17 (UTC+3)
witless_shako CN | [s] None => 2399 | [h] None => ab1f8465b8 | 2023-11-16 13:31:17 (UTC+3)
wizard_glass CN | [s] None => 2745 | [h] None => 39609b70d1 | 2023-11-16 13:31:17 (UTC+3)
woodland_striders CN | [s] None => 3008 | [h] None => f5a992df7d | 2023-11-16 13:31:17 (UTC+3)
wraith_band CN | [s] None => 2885 | [h] None => e5b323e968 | 2023-11-16 13:31:17 (UTC+3)
