1016788877_Relics of Glorious Inspiration Loading Screen | [s] None => 1749 | [h] None => 7760bbe9ff | 2024-03-21 18:05:56 (UTC+3)
136107328_Heavy Belt of the World Runner | [s] None => 3020 | [h] None => 15cfa9a110 | 2024-03-21 18:05:54 (UTC+3)
136107328_Heavy Belt of the World Runner | [s] 3020 => 3236 | [h] 15cfa9a110 => 83417a1379 | 2024-12-19 18:02:29 (UTC+3)
136107329_Heavy Gauntlets of the World Runner | [s] None => 2992 | [h] None => f522a01c8f | 2024-03-21 18:05:54 (UTC+3)
136107329_Heavy Gauntlets of the World Runner | [s] 2992 => 3208 | [h] f522a01c8f => 1ccefe41b1 | 2024-12-19 18:02:29 (UTC+3)
136107330_Heavy Helm of the World Runner | [s] None => 2947 | [h] None => 50c0f32dc7 | 2024-03-21 18:05:54 (UTC+3)
136107330_Heavy Helm of the World Runner | [s] 2947 => 3163 | [h] 50c0f32dc7 => c40979a718 | 2024-12-19 18:02:29 (UTC+3)
136107331_Heavy Pauldrons of the World Runner | [s] None => 3124 | [h] None => ccf2526f05 | 2024-03-21 18:05:54 (UTC+3)
136107331_Heavy Pauldrons of the World Runner | [s] 3124 => 3340 | [h] ccf2526f05 => e48cdff967 | 2024-12-19 18:02:29 (UTC+3)
136107332_Snowl | [s] None => 1828 | [h] None => 14cfdb6956 | 2024-03-21 18:05:56 (UTC+3)
136107332_Snowl | [s] 1828 => 1855 | [h] 14cfdb6956 => 8a845003f9 | 2024-12-19 18:02:31 (UTC+3)
136107333_Bindings of Enduring Torment Set | [s] None => 1977 | [h] None => 5dafaf99ac | 2024-03-21 18:05:57 (UTC+3)
136107333_Bindings of Enduring Torment Set | [s] 1977 => 2031 | [h] 5dafaf99ac => 5d083c8c40 | 2024-12-19 18:02:32 (UTC+3)
136107334_Armor of the Sanguine Moon Set | [s] None => 2025 | [h] None => 53301f1304 | 2024-03-21 18:05:57 (UTC+3)
136107334_Armor of the Sanguine Moon Set | [s] 2025 => 2079 | [h] 53301f1304 => 14283af823 | 2025-01-14 14:41:13 (UTC+3)
136107335_Ancestors' Pride Set | [s] None => 1901 | [h] None => fe3ca035cc | 2024-03-21 18:05:57 (UTC+3)
136107335_Ancestors' Pride Set | [s] 1901 => 1955 | [h] fe3ca035cc => 0e95055616 | 2024-12-19 18:02:32 (UTC+3)
136107336_Dead Winter Set | [s] None => 1819 | [h] None => aa1c4bd0c7 | 2024-03-21 18:05:57 (UTC+3)
136107336_Dead Winter Set | [s] 1819 => 1873 | [h] aa1c4bd0c7 => 198bdb9fa7 | 2024-12-19 18:02:32 (UTC+3)
136107337_Weight of Omexe Set | [s] None => 1959 | [h] None => 523e8b89cc | 2024-03-21 18:05:57 (UTC+3)
136107337_Weight of Omexe Set | [s] 1959 => 2013 | [h] 523e8b89cc => 91a01a2908 | 2024-12-19 18:02:32 (UTC+3)
136107338_Empowered Vestments of the Gods Set | [s] None => 2116 | [h] None => fa85609b67 | 2024-03-21 18:05:57 (UTC+3)
136107338_Empowered Vestments of the Gods Set | [s] 2116 => 2170 | [h] fa85609b67 => b7be158de9 | 2024-12-19 18:02:32 (UTC+3)
136107339_Heavy Armor of the World Runner Set | [s] None => 1984 | [h] None => 871d28d95c | 2024-03-21 18:05:57 (UTC+3)
136107339_Heavy Armor of the World Runner Set | [s] 1984 => 2038 | [h] 871d28d95c => ef1a24f2a2 | 2024-12-19 18:02:32 (UTC+3)
138295208_Wraps of a Thousand Faces | [s] None => 3059 | [h] None => 906e34d998 | 2024-03-21 18:05:54 (UTC+3)
138295208_Wraps of a Thousand Faces | [s] 3059 => 3302 | [h] 906e34d998 => 77d33f9346 | 2024-12-19 18:02:29 (UTC+3)
138295210_Hakama of a Thousand Faces | [s] None => 3118 | [h] None => 4f624011bf | 2024-03-21 18:05:54 (UTC+3)
138295210_Hakama of a Thousand Faces | [s] 3118 => 3361 | [h] 4f624011bf => 3d2934d211 | 2025-01-05 13:50:47 (UTC+3)
138295211_Kataginu of a Thousand Faces | [s] None => 3102 | [h] None => 4a2bd0c9ff | 2024-03-21 18:05:54 (UTC+3)
138295211_Kataginu of a Thousand Faces | [s] 3102 => 3345 | [h] 4a2bd0c9ff => c67df2a6ae | 2024-12-19 18:02:29 (UTC+3)
138295213_Blade of the Subtle Demon | [s] None => 3354 | [h] None => ec0d22af1d | 2024-03-21 18:05:54 (UTC+3)
138295213_Blade of the Subtle Demon | [s] 3354 => 3624 | [h] ec0d22af1d => 96b70d075d | 2025-01-17 15:58:48 (UTC+3)
138295214_Blade of the Subtle Demon - Off-Hand | [s] None => 3369 | [h] None => a6ee14cc23 | 2024-03-21 18:05:54 (UTC+3)
138295214_Blade of the Subtle Demon - Off-Hand | [s] 3369 => 3639 | [h] a6ee14cc23 => 69415956bf | 2025-01-11 08:21:15 (UTC+3)
138295215_Veil of the Subtle Demon | [s] None => 3262 | [h] None => c5975e64ed | 2024-03-21 18:05:54 (UTC+3)
138295215_Veil of the Subtle Demon | [s] 3262 => 3532 | [h] c5975e64ed => e638d1e940 | 2024-12-19 18:02:29 (UTC+3)
138295216_Wraps of the Subtle Demon | [s] None => 3286 | [h] None => 214a59c90e | 2024-03-21 18:05:54 (UTC+3)
138295216_Wraps of the Subtle Demon | [s] 3286 => 3556 | [h] 214a59c90e => 81e344f8b8 | 2024-12-19 18:02:29 (UTC+3)
138295217_Whip of the Subtle Demon | [s] None => 3289 | [h] None => 1aaa938d72 | 2024-03-21 18:05:54 (UTC+3)
138295217_Whip of the Subtle Demon | [s] 3289 => 3559 | [h] 1aaa938d72 => 7d953113b0 | 2024-12-19 18:02:29 (UTC+3)
138295218_Mark of the Subtle Demon | [s] None => 3312 | [h] None => 05ea17f894 | 2024-03-21 18:05:54 (UTC+3)
138295218_Mark of the Subtle Demon | [s] 3312 => 3582 | [h] 05ea17f894 => 4dc86025a2 | 2024-12-19 18:02:29 (UTC+3)
138295219_Ancestral Bracers of Karroch | [s] None => 3144 | [h] None => e2fda4e898 | 2024-03-21 18:05:54 (UTC+3)
138295219_Ancestral Bracers of Karroch | [s] 3144 => 3387 | [h] e2fda4e898 => f066623bbe | 2024-12-19 18:02:29 (UTC+3)
138295220_Ancestral Axes of Karroch | [s] None => 3024 | [h] None => d634630594 | 2024-03-21 18:05:54 (UTC+3)
138295220_Ancestral Axes of Karroch | [s] 3024 => 3267 | [h] d634630594 => 4feecc4752 | 2024-12-19 18:02:29 (UTC+3)
138295221_Ancestral Belt of Karroch | [s] None => 3077 | [h] None => 00e560d46b | 2024-03-21 18:05:54 (UTC+3)
138295221_Ancestral Belt of Karroch | [s] 3077 => 3320 | [h] 00e560d46b => bdadd1cbea | 2024-12-19 18:02:29 (UTC+3)
138295222_Ancestral Hair of Karroch | [s] None => 3105 | [h] None => 5bf369e386 | 2024-03-21 18:05:54 (UTC+3)
138295222_Ancestral Hair of Karroch | [s] 3105 => 3348 | [h] 5bf369e386 => 18f48c8c87 | 2024-12-19 18:02:29 (UTC+3)
138295223_Ancestral Vest of Karroch | [s] None => 3070 | [h] None => 6a4883db3e | 2024-03-21 18:05:54 (UTC+3)
138295223_Ancestral Vest of Karroch | [s] 3070 => 3313 | [h] 6a4883db3e => 4e6e0a775a | 2024-12-19 18:02:29 (UTC+3)
138295224_Battlejug of the the Drunken Warlord | [s] None => 3190 | [h] None => 9164293877 | 2024-03-21 18:05:54 (UTC+3)
138295224_Battlejug of the the Drunken Warlord | [s] 3190 => 3433 | [h] 9164293877 => 86177441ce | 2024-12-19 18:02:29 (UTC+3)
138295225_Wraps of the Drunken Warlord | [s] None => 3173 | [h] None => 35f49776c6 | 2024-03-21 18:05:54 (UTC+3)
138295225_Wraps of the Drunken Warlord | [s] 3173 => 3416 | [h] 35f49776c6 => cb2526cf94 | 2024-12-19 18:02:29 (UTC+3)
138295226_Guard of the Drunken Warlord | [s] None => 3230 | [h] None => 4f8c0307fe | 2024-03-21 18:05:54 (UTC+3)
138295226_Guard of the Drunken Warlord | [s] 3230 => 3473 | [h] 4f8c0307fe => 0f44b90cfc | 2024-12-19 18:02:29 (UTC+3)
138295228_Mailed Skirt of the Drunken Warlord | [s] None => 3123 | [h] None => b9ede86554 | 2024-03-21 18:05:54 (UTC+3)
138295228_Mailed Skirt of the Drunken Warlord | [s] 3123 => 3366 | [h] b9ede86554 => 176cbef969 | 2024-12-19 18:02:29 (UTC+3)
138295229_Words of the Drunken Warlord | [s] None => 3138 | [h] None => d68a0f6310 | 2024-03-21 18:05:54 (UTC+3)
138295229_Words of the Drunken Warlord | [s] 3138 => 3381 | [h] d68a0f6310 => d687755798 | 2025-01-11 00:50:25 (UTC+3)
138295230_Bindings of Eldritch Ice | [s] None => 2971 | [h] None => b25a9468df | 2024-03-21 18:05:54 (UTC+3)
138295230_Bindings of Eldritch Ice | [s] 2971 => 3187 | [h] b25a9468df => 86434f9a86 | 2024-12-19 18:02:29 (UTC+3)
138295231_Glacier of Eldritch Ice | [s] None => 2878 | [h] None => 9efa021005 | 2024-03-21 18:05:54 (UTC+3)
138295231_Glacier of Eldritch Ice | [s] 2878 => 3094 | [h] 9efa021005 => 191375b394 | 2024-12-19 18:02:29 (UTC+3)
138295232_Mantle of Eldritch Ice | [s] None => 2960 | [h] None => 5bf83ff6e3 | 2024-03-21 18:05:54 (UTC+3)
138295232_Mantle of Eldritch Ice | [s] 2960 => 3176 | [h] 5bf83ff6e3 => 4d0fc444a1 | 2024-12-19 18:02:29 (UTC+3)
138295233_Bracers of Eldritch Ice | [s] None => 2890 | [h] None => 9a1bc338dd | 2024-03-21 18:05:54 (UTC+3)
138295233_Bracers of Eldritch Ice | [s] 2890 => 3106 | [h] 9a1bc338dd => a0b4eebb24 | 2024-12-19 18:02:29 (UTC+3)
138295234_Blade of the Ephemeral Haunt | [s] None => 3021 | [h] None => 09fb41602f | 2024-03-21 18:05:54 (UTC+3)
138295234_Blade of the Ephemeral Haunt | [s] 3021 => 3264 | [h] 09fb41602f => b9e1c0e4fc | 2024-12-19 18:02:29 (UTC+3)
138295235_Wings of the Ephemeral Haunt | [s] None => 3060 | [h] None => 19e094bc10 | 2024-03-21 18:05:54 (UTC+3)
138295235_Wings of the Ephemeral Haunt | [s] 3060 => 3303 | [h] 19e094bc10 => beca2b71bf | 2024-12-19 18:02:29 (UTC+3)
138295236_Sleeves of the Ephemeral Haunt | [s] None => 3044 | [h] None => d8b53b5ec1 | 2024-03-21 18:05:54 (UTC+3)
138295236_Sleeves of the Ephemeral Haunt | [s] 3044 => 3287 | [h] d8b53b5ec1 => 7aad665300 | 2024-12-19 18:02:29 (UTC+3)
138295237_Horns of the Ephemeral Haunt | [s] None => 3047 | [h] None => 74a9409c4f | 2024-03-21 18:05:54 (UTC+3)
138295237_Horns of the Ephemeral Haunt | [s] 3047 => 3290 | [h] 74a9409c4f => ff507c696e | 2024-12-19 18:02:29 (UTC+3)
138295238_Dress of the Ephemeral Haunt | [s] None => 3002 | [h] None => 72b2038a23 | 2024-03-21 18:05:54 (UTC+3)
138295238_Dress of the Ephemeral Haunt | [s] 3002 => 3245 | [h] 72b2038a23 => 7a2d478053 | 2024-12-19 18:02:29 (UTC+3)
138295239_Akakiryu of a Thousand Faces | [s] None => 3121 | [h] None => e17455ca7b | 2024-03-21 18:05:54 (UTC+3)
138295239_Akakiryu of a Thousand Faces | [s] 3121 => 3364 | [h] e17455ca7b => 93c55eaeb5 | 2024-12-19 18:02:29 (UTC+3)
138295240_Captain Bamboo | [s] None => 1749 | [h] None => e61de5f2db | 2024-03-21 18:05:56 (UTC+3)
138295240_Captain Bamboo | [s] 1749 => 1776 | [h] e61de5f2db => fd9618530e | 2024-12-19 18:02:31 (UTC+3)
138295241_Snelfret the Snail | [s] None => 1960 | [h] None => b8b3ef0d46 | 2024-03-21 18:05:56 (UTC+3)
138295241_Snelfret the Snail | [s] 1960 => 1987 | [h] b8b3ef0d46 => d046613562 | 2024-12-19 18:02:31 (UTC+3)
138295243_Thousand Faces Set | [s] None => 1865 | [h] None => 91f4ffe237 | 2024-03-21 18:05:57 (UTC+3)
138295243_Thousand Faces Set | [s] 1865 => 1919 | [h] 91f4ffe237 => 47876be663 | 2024-12-19 18:02:32 (UTC+3)
138295244_The Subtle Demon Set | [s] None => 1849 | [h] None => 7d1a809564 | 2024-03-21 18:05:57 (UTC+3)
138295244_The Subtle Demon Set | [s] 1849 => 1903 | [h] 7d1a809564 => 8214602e9f | 2024-12-19 18:02:32 (UTC+3)
138295245_Custom of Karroch Set | [s] None => 1911 | [h] None => a6ca47b7d9 | 2024-03-21 18:05:57 (UTC+3)
138295245_Custom of Karroch Set | [s] 1911 => 1965 | [h] a6ca47b7d9 => 30c15f1bfb | 2024-12-19 18:02:32 (UTC+3)
138295246_The Ephemeral Haunt Set | [s] None => 1891 | [h] None => 47a65de17e | 2024-03-21 18:05:57 (UTC+3)
138295246_The Ephemeral Haunt Set | [s] 1891 => 1945 | [h] 47a65de17e => ce7768882b | 2024-12-19 18:02:32 (UTC+3)
138295247_Eldritch Ice Set | [s] None => 1837 | [h] None => af9858632f | 2024-03-21 18:05:57 (UTC+3)
138295247_Eldritch Ice Set | [s] 1837 => 1891 | [h] af9858632f => 4cd6de6ff7 | 2024-12-19 18:02:32 (UTC+3)
138295249_The Drunken Warlord Set | [s] None => 1954 | [h] None => c835a935bf | 2024-03-21 18:05:57 (UTC+3)
138295249_The Drunken Warlord Set | [s] 1954 => 2008 | [h] c835a935bf => 5031a4fb8a | 2024-12-19 18:02:32 (UTC+3)
1392796887_Fallout 4 Announcer Pack | [s] None => 1913 | [h] None => c259b89b75 | 2024-03-21 18:05:58 (UTC+3)
1392796887_Fallout 4 Announcer Pack | [s] 1913 => 1940 | [h] c259b89b75 => 10177c7172 | 2024-12-19 18:02:32 (UTC+3)
1392798751_Mega-Kills_ Fallout 4 | [s] None => 1907 | [h] None => 32374f964f | 2024-03-21 18:05:57 (UTC+3)
1392798751_Mega-Kills_ Fallout 4 | [s] 1907 => 1934 | [h] 32374f964f => 3aacf88b08 | 2024-12-19 18:02:31 (UTC+3)
1392798761_Announcer_ Fallout 4 | [s] None => 1892 | [h] None => a469fd8316 | 2024-03-21 18:05:57 (UTC+3)
1392798761_Announcer_ Fallout 4 | [s] 1892 => 1919 | [h] a469fd8316 => 19590a9b86 | 2024-12-19 18:02:31 (UTC+3)
1434508201_Utter Eradication | [s] None => 1734 | [h] None => f950c5420f | 2024-03-21 18:05:58 (UTC+3)
1434508201_Utter Eradication | [s] 1734 => 1761 | [h] f950c5420f => 3a63eb89d9 | 2024-12-19 18:02:32 (UTC+3)
1434508203_Bloodroot Guard | [s] None => 1919 | [h] None => df4aaad0a8 | 2024-03-21 18:05:58 (UTC+3)
1434508203_Bloodroot Guard | [s] 1919 => 1973 | [h] df4aaad0a8 => bf57af72d6 | 2024-12-19 18:02:32 (UTC+3)
1434508204_Crimson Beast | [s] None => 1883 | [h] None => 7f21742698 | 2024-03-21 18:05:58 (UTC+3)
1434508204_Crimson Beast | [s] 1883 => 1937 | [h] 7f21742698 => 0fd6549359 | 2024-12-19 18:02:32 (UTC+3)
1434508205_Falconside Armor | [s] None => 1918 | [h] None => bf272b3ee7 | 2024-03-21 18:05:58 (UTC+3)
1434508205_Falconside Armor | [s] 1918 => 1972 | [h] bf272b3ee7 => deb2f7b681 | 2024-12-19 18:02:32 (UTC+3)
1434508206_Broken Scale | [s] None => 1881 | [h] None => 3f8f74c2a2 | 2024-03-21 18:05:58 (UTC+3)
1434508206_Broken Scale | [s] 1881 => 1935 | [h] 3f8f74c2a2 => 90eb240a6d | 2024-12-19 18:02:32 (UTC+3)
1434515275_Marauder's Reflection | [s] None => 1705 | [h] None => 3d0f0ed9a9 | 2024-03-21 18:05:58 (UTC+3)
1434515276_Raiments of Twilight Shade | [s] None => 1949 | [h] None => 350530c96e | 2024-03-21 18:05:58 (UTC+3)
1434515276_Raiments of Twilight Shade | [s] 1949 => 2003 | [h] 350530c96e => a25c677613 | 2024-12-19 18:02:32 (UTC+3)
1434515423_Diviner's Embrace Loading Screen | [s] None => 1734 | [h] None => 65f9c932a2 | 2024-03-21 18:05:56 (UTC+3)
1434515429_Diviner's Embrace | [s] None => 1898 | [h] None => 94b9da8931 | 2024-03-21 18:05:58 (UTC+3)
1434515429_Diviner's Embrace | [s] 1898 => 1952 | [h] 94b9da8931 => 30417e1d0a | 2024-12-19 18:02:32 (UTC+3)
1434517258_Elements of the Endless Plane | [s] None => 1980 | [h] None => 1500535308 | 2024-03-21 18:05:58 (UTC+3)
1434517258_Elements of the Endless Plane | [s] 1980 => 2034 | [h] 1500535308 => 4184aa5dc0 | 2025-01-05 16:51:25 (UTC+3)
1434517260_Glacial Magnolia | [s] None => 1899 | [h] None => 80d7bf31e6 | 2024-03-21 18:05:58 (UTC+3)
1434517260_Glacial Magnolia | [s] 1899 => 1953 | [h] 80d7bf31e6 => 50c89c2ead | 2024-12-19 18:02:32 (UTC+3)
1434517461_Armaments of the Night Grove | [s] None => 1955 | [h] None => 15766ba3d6 | 2024-03-21 18:05:58 (UTC+3)
1434517461_Armaments of the Night Grove | [s] 1955 => 2009 | [h] 15766ba3d6 => 11abbebaa5 | 2024-12-19 18:02:32 (UTC+3)
1434520883_Treasure of the Autumn Flurry | [s] None => 2933 | [h] None => bcd4e081b9 | 2024-03-21 18:05:56 (UTC+3)
1434520883_Treasure of the Autumn Flurry | [s] 2933 => 3203 | [h] bcd4e081b9 => db319d141f | 2024-12-19 18:02:31 (UTC+3)
1434531877_Treasure of the Cherished Hoard | [s] None => 2882 | [h] None => 19da9d3fec | 2024-03-21 18:05:56 (UTC+3)
1434531877_Treasure of the Cherished Hoard | [s] 2882 => 3152 | [h] 19da9d3fec => c8370e48b0 | 2024-12-19 18:02:31 (UTC+3)
1434561265_Hood of Diviner's Embrace | [s] None => 2745 | [h] None => 0067c9ae4a | 2024-03-21 18:05:56 (UTC+3)
1434561265_Hood of Diviner's Embrace | [s] 2745 => 2934 | [h] 0067c9ae4a => 0939176932 | 2024-12-19 18:02:31 (UTC+3)
1434561266_Robe of Diviner's Embrace | [s] None => 2745 | [h] None => 335b991b79 | 2024-03-21 18:05:56 (UTC+3)
1434561266_Robe of Diviner's Embrace | [s] 2745 => 2934 | [h] 335b991b79 => f065e74471 | 2025-02-12 19:34:26 (UTC+3)
1434561267_Mantle of Diviner's Embrace | [s] None => 2781 | [h] None => 9e8ef4b7d1 | 2024-03-21 18:05:56 (UTC+3)
1434561267_Mantle of Diviner's Embrace | [s] 2781 => 2970 | [h] 9e8ef4b7d1 => d8635e860a | 2025-01-28 14:51:38 (UTC+3)
1434561268_Staff of Diviner's Embrace | [s] None => 2751 | [h] None => b721eeb767 | 2024-03-21 18:05:56 (UTC+3)
1434561268_Staff of Diviner's Embrace | [s] 2751 => 2940 | [h] b721eeb767 => b8ac619aa5 | 2024-12-19 18:02:31 (UTC+3)
144038392_Sacred Bones Chopper | [s] None => 3090 | [h] None => 4aff10ca83 | 2024-03-21 18:05:54 (UTC+3)
144038392_Sacred Bones Chopper | [s] 3090 => 3333 | [h] 4aff10ca83 => 9a540850b5 | 2024-12-19 18:02:29 (UTC+3)
144038393_Sacred Bones Shoulder | [s] None => 3030 | [h] None => 999e1ffd04 | 2024-03-21 18:05:54 (UTC+3)
144038393_Sacred Bones Shoulder | [s] 3030 => 3273 | [h] 999e1ffd04 => e2ce0bbee1 | 2024-12-19 18:02:29 (UTC+3)
144038395_Sacred Bones Bracers | [s] None => 2977 | [h] None => 516ce93558 | 2024-03-21 18:05:54 (UTC+3)
144038395_Sacred Bones Bracers | [s] 2977 => 3220 | [h] 516ce93558 => 69414d8e50 | 2025-01-05 20:24:59 (UTC+3)
144038397_Sacred Bones Helmet | [s] None => 3001 | [h] None => e75ee61c2a | 2024-03-21 18:05:54 (UTC+3)
144038397_Sacred Bones Helmet | [s] 3001 => 3244 | [h] e75ee61c2a => 2fe90bffdf | 2024-12-19 18:02:29 (UTC+3)
144038398_Sacred Bones Spear | [s] None => 3005 | [h] None => c1e7546367 | 2024-03-21 18:05:54 (UTC+3)
144038398_Sacred Bones Spear | [s] 3005 => 3248 | [h] c1e7546367 => 28b77cfc19 | 2024-12-19 18:02:29 (UTC+3)
144038399_Bandana of the Bone Ruin Bandits | [s] None => 2963 | [h] None => 6c1fe3047a | 2024-03-21 18:05:54 (UTC+3)
144038399_Bandana of the Bone Ruin Bandits | [s] 2963 => 3179 | [h] 6c1fe3047a => df6afbfd12 | 2024-12-26 12:54:59 (UTC+3)
144038400_Key to the Bone Ruins | [s] None => 2947 | [h] None => 2b19c9faf3 | 2024-03-21 18:05:54 (UTC+3)
144038400_Key to the Bone Ruins | [s] 2947 => 3163 | [h] 2b19c9faf3 => 0e0200f9e2 | 2024-12-19 18:02:29 (UTC+3)
144038401_Bone Ruin Excavator Pack | [s] None => 2851 | [h] None => a6a24dd00e | 2024-03-21 18:05:54 (UTC+3)
144038401_Bone Ruin Excavator Pack | [s] 2851 => 3067 | [h] a6a24dd00e => bd87e66467 | 2024-12-19 18:02:29 (UTC+3)
144038402_Skull of the Bone Ruins | [s] None => 2789 | [h] None => 20c982a375 | 2024-03-21 18:05:54 (UTC+3)
144038402_Skull of the Bone Ruins | [s] 2789 => 3005 | [h] 20c982a375 => 1529f5d4f8 | 2024-12-19 18:02:29 (UTC+3)
144038403_Sea Dragon's Basher | [s] None => 2883 | [h] None => 0807a9f268 | 2024-03-21 18:05:54 (UTC+3)
144038403_Sea Dragon's Basher | [s] 2883 => 3099 | [h] 0807a9f268 => 925e0dc910 | 2024-12-19 18:02:29 (UTC+3)
144038404_Sea Dragon's Crown | [s] None => 2828 | [h] None => 0b26ac52a2 | 2024-03-21 18:05:54 (UTC+3)
144038404_Sea Dragon's Crown | [s] 2828 => 3044 | [h] 0b26ac52a2 => 84038b1148 | 2024-12-19 18:02:29 (UTC+3)
144038405_Sea Dragon's Armlet | [s] None => 2840 | [h] None => ac74346751 | 2024-03-21 18:05:54 (UTC+3)
144038405_Sea Dragon's Armlet | [s] 2840 => 3056 | [h] ac74346751 => a3825fb854 | 2024-12-19 18:02:29 (UTC+3)
144038406_Sea Dragon's Fins | [s] None => 2821 | [h] None => b2414e2d20 | 2024-03-21 18:05:54 (UTC+3)
144038406_Sea Dragon's Fins | [s] 2821 => 3037 | [h] b2414e2d20 => ed4a28c157 | 2024-12-19 18:02:29 (UTC+3)
144038407_Nimble Ben | [s] None => 1847 | [h] None => 7add72a118 | 2024-03-21 18:05:56 (UTC+3)
144038407_Nimble Ben | [s] 1847 => 1874 | [h] 7add72a118 => 55ef6c0f52 | 2024-12-19 18:02:31 (UTC+3)
144038408_Porcine Princess Penelope | [s] None => 1882 | [h] None => 5a0988c700 | 2024-03-21 18:05:56 (UTC+3)
144038408_Porcine Princess Penelope | [s] 1882 => 1909 | [h] 5a0988c700 => c99670f1e7 | 2024-12-19 18:02:31 (UTC+3)
144038409_The Llama Llama | [s] None => 1905 | [h] None => 503a0fd2cc | 2024-03-21 18:05:56 (UTC+3)
144038409_The Llama Llama | [s] 1905 => 1932 | [h] 503a0fd2cc => 78033f5600 | 2024-12-19 18:02:31 (UTC+3)
144038410_Kupu the Metamorpher | [s] None => 1851 | [h] None => 93bb9547f3 | 2024-03-21 18:05:56 (UTC+3)
144038410_Kupu the Metamorpher | [s] 1851 => 1878 | [h] 93bb9547f3 => 66d5fa28b6 | 2024-12-19 18:02:31 (UTC+3)
144038411_Sacred Bones Set | [s] None => 1835 | [h] None => 8d774a29de | 2024-03-21 18:05:57 (UTC+3)
144038411_Sacred Bones Set | [s] 1835 => 1889 | [h] 8d774a29de => fd8af9bdde | 2024-12-19 18:02:32 (UTC+3)
144038412_The Sea Dragon's Set | [s] None => 1867 | [h] None => e85508f6aa | 2024-03-21 18:05:57 (UTC+3)
144038412_The Sea Dragon's Set | [s] 1867 => 1921 | [h] e85508f6aa => 372b02754f | 2024-12-19 18:02:32 (UTC+3)
144038414_Spoils of the Bone Ruins Set | [s] None => 1905 | [h] None => 9f621e8ea1 | 2024-03-21 18:05:57 (UTC+3)
144038414_Spoils of the Bone Ruins Set | [s] 1905 => 1959 | [h] 9f621e8ea1 => c9a8a542d5 | 2024-12-19 18:02:32 (UTC+3)
1441173253_Tempest Helm of the Thundergod | [s] None => 3030 | [h] None => fb20aee25a | 2024-03-21 18:05:56 (UTC+3)
1441173253_Tempest Helm of the Thundergod | [s] 3030 => 3273 | [h] fb20aee25a => 79607a79ca | 2025-01-07 17:21:31 (UTC+3)
1441173254_Thundergod's Bare Arms | [s] None => 2644 | [h] None => a11bb3548e | 2024-03-21 18:05:56 (UTC+3)
1441173254_Thundergod's Bare Arms | [s] 2644 => 2833 | [h] a11bb3548e => d70bcbf1f4 | 2024-12-19 18:02:31 (UTC+3)
1441173255_Thundergod's Bare Chest | [s] None => 2647 | [h] None => 9f21c279fc | 2024-03-21 18:05:56 (UTC+3)
1441173255_Thundergod's Bare Chest | [s] 2647 => 2836 | [h] 9f21c279fc => 69a643e022 | 2024-12-29 12:10:22 (UTC+3)
1441173257_Desert Music Pack | [s] None => 1748 | [h] None => 48612dcae1 | 2024-03-21 18:05:56 (UTC+3)
1441173257_Desert Music Pack | [s] 1748 => 1775 | [h] 48612dcae1 => 235c57c3d8 | 2024-12-19 18:02:31 (UTC+3)
1441173260_Nested Treasure II | [s] None => 4146 | [h] None => 2faff0cdeb | 2024-03-21 18:05:57 (UTC+3)
1441173260_Nested Treasure II | [s] 4146 => 4632 | [h] 2faff0cdeb => 87559520ac | 2024-12-19 18:02:31 (UTC+3)
1441173269_Zeus Wrath Emoticon | [s] None => 1725 | [h] None => cac5ef7e79 | 2024-03-21 18:05:57 (UTC+3)
1441173269_Zeus Wrath Emoticon | [s] 1725 => 1752 | [h] cac5ef7e79 => 05c7d117b1 | 2024-12-19 18:02:31 (UTC+3)
1441173309_Tempest Helm of the Thundergod Bundle | [s] None => 2267 | [h] None => b1f6ad80fa | 2024-03-21 18:05:58 (UTC+3)
1441173309_Tempest Helm of the Thundergod Bundle | [s] 2267 => 2375 | [h] b1f6ad80fa => 14415363e6 | 2024-12-19 18:02:32 (UTC+3)
1442638978_Charm of the Cherished Hoard | [s] None => 2083 | [h] None => cda8c0f915 | 2024-03-21 18:05:56 (UTC+3)
1442638978_Charm of the Cherished Hoard | [s] 2083 => 2110 | [h] cda8c0f915 => 586b150db3 | 2024-12-19 18:02:31 (UTC+3)
1442641794_Charm of the Autumn Flurry | [s] None => 2066 | [h] None => 74ac80c323 | 2024-03-21 18:05:56 (UTC+3)
1442641794_Charm of the Autumn Flurry | [s] 2066 => 2093 | [h] 74ac80c323 => 511d80d323 | 2024-12-19 18:02:31 (UTC+3)
145576524_Belt of the Conquering Tyrant | [s] None => 3477 | [h] None => 127fbfc720 | 2024-03-21 18:05:54 (UTC+3)
145576524_Belt of the Conquering Tyrant | [s] 3477 => 3774 | [h] 127fbfc720 => a6bf6af2b4 | 2024-12-19 18:02:29 (UTC+3)
145576525_Bracers of the Conquering Tyrant | [s] None => 3431 | [h] None => df806fbd83 | 2024-03-21 18:05:54 (UTC+3)
145576525_Bracers of the Conquering Tyrant | [s] 3431 => 3728 | [h] df806fbd83 => be284674a4 | 2024-12-19 18:02:29 (UTC+3)
145576526_Death Mask of the Conquering Tyrant | [s] None => 3470 | [h] None => 4976306a56 | 2024-03-21 18:05:54 (UTC+3)
145576526_Death Mask of the Conquering Tyrant | [s] 3470 => 3767 | [h] 4976306a56 => 11c0b574ee | 2024-12-19 18:02:29 (UTC+3)
145576532_Brutal Crescent of the Conquering Tyrant | [s] None => 3474 | [h] None => 0f2c578ccd | 2024-03-21 18:05:54 (UTC+3)
